,sample,total_count,population,count,percentage
0,sample00000,93214,b_cell,10908,11.702104834037806
1,sample00000,93214,cd4_t_cell,20491,21.98274937241187
2,sample00000,93214,cd8_t_cell,24440,26.21923745360139
3,sample00000,93214,monocyte,23511,25.222606046302058
4,sample00000,93214,nk_cell,13864,14.873302293646876
5,sample00001,100824,b_cell,6777,6.721613901452035
6,sample00001,100824,cd4_t_cell,33459,33.1855510592716
7,sample00001,100824,cd8_t_cell,19407,19.248393239704832
8,sample00001,100824,monocyte,23011,22.822938982781878
9,sample00001,100824,nk_cell,18170,18.021502816789653
10,sample00002,92822,b_cell,9794,10.551377906099846
11,sample00002,92822,cd4_t_cell,24274,26.15112796535304
12,sample00002,92822,cd8_t_cell,22940,24.713968671220186
13,sample00002,92822,monocyte,18332,19.74962832087221
14,sample00002,92822,nk_cell,17482,18.83389713645472
15,sample00003,93160,b_cell,10081,10.821167883211679
16,sample00003,93160,cd4_t_cell,36157,38.81172176899957
17,sample00003,93160,cd8_t_cell,20271,21.75933877200515
18,sample00003,93160,monocyte,12610,13.53585229712323
19,sample00003,93160,nk_cell,14041,15.071919278660369
20,sample00004,107903,b_cell,4372,4.05178725336645
21,sample00004,107903,cd4_t_cell,38293,35.48835528205888
22,sample00004,107903,cd8_t_cell,33778,31.304041592912153
23,sample00004,107903,monocyte,14933,13.83928157697191
24,sample00004,107903,nk_cell,16527,15.316534294690602
25,sample00005,105359,b_cell,15431,14.646114712554219
26,sample00005,105359,cd4_t_cell,30805,29.23812868383337
27,sample00005,105359,cd8_t_cell,31940,30.315397830275533
28,sample00005,105359,monocyte,15779,14.976413975075694
29,sample00005,105359,nk_cell,11404,10.823944798261182
30,sample00006,99774,b_cell,5897,5.910357407741496
31,sample00006,99774,cd4_t_cell,28319,28.38314590975605
32,sample00006,99774,cd8_t_cell,31296,31.366889169523123
33,sample00006,99774,monocyte,21606,21.654940164772384
34,sample00006,99774,nk_cell,12656,12.684667348206947
35,sample00007,98424,b_cell,10403,10.569576526050557
36,sample00007,98424,cd4_t_cell,33870,34.4123384540356
37,sample00007,98424,cd8_t_cell,13504,13.72023083800699
38,sample00007,98424,monocyte,18031,18.319718767780216
39,sample00007,98424,nk_cell,22616,22.978135414126637
40,sample00008,90353,b_cell,8829,9.771673325733511
41,sample00008,90353,cd4_t_cell,21307,23.581950793000786
42,sample00008,90353,cd8_t_cell,26215,29.01397850652441
43,sample00008,90353,monocyte,16378,18.126680907108785
44,sample00008,90353,nk_cell,17624,19.505716467632507
45,sample00009,95821,b_cell,7650,7.9836361549138495
46,sample00009,95821,cd4_t_cell,21097,22.01709437388464
47,sample00009,95821,cd8_t_cell,33334,34.787781384038986
48,sample00009,95821,monocyte,15676,16.359670635873137
49,sample00009,95821,nk_cell,18064,18.851817451289385
50,sample00010,107537,b_cell,13203,12.277634674577122
51,sample00010,107537,cd4_t_cell,27873,25.919450979662813
52,sample00010,107537,cd8_t_cell,21339,19.84340273580256
53,sample00010,107537,monocyte,31913,29.676297460408975
54,sample00010,107537,nk_cell,13209,12.283214149548527
55,sample00011,89815,b_cell,10621,11.825418916662027
56,sample00011,89815,cd4_t_cell,29391,32.72393252797417
57,sample00011,89815,cd8_t_cell,19786,22.029727773757166
58,sample00011,89815,monocyte,16497,18.367755942771254
59,sample00011,89815,nk_cell,13520,15.053164838835384
60,sample00012,109579,b_cell,14128,12.89298131941339
61,sample00012,109579,cd4_t_cell,40320,36.79537137590232
62,sample00012,109579,cd8_t_cell,21720,19.821316128090235
63,sample00012,109579,monocyte,18802,17.158397138137783
64,sample00012,109579,nk_cell,14609,13.331934038456273
65,sample00013,109488,b_cell,10681,9.755406985240391
66,sample00013,109488,cd4_t_cell,31697,28.95020458863072
67,sample00013,109488,cd8_t_cell,19994,18.261361975741632
68,sample00013,109488,monocyte,22073,20.16020020458863
69,sample00013,109488,nk_cell,25043,22.872826245798628
70,sample00014,92904,b_cell,6113,6.579910445190735
71,sample00014,92904,cd4_t_cell,27223,29.30229053646775
72,sample00014,92904,cd8_t_cell,25851,27.825497287522605
73,sample00014,92904,monocyte,24463,26.331481959872555
74,sample00014,92904,nk_cell,9254,9.960819770946353
75,sample00015,102691,b_cell,8261,8.044521915260344
76,sample00015,102691,cd4_t_cell,36217,35.26793974155476
77,sample00015,102691,cd8_t_cell,21523,20.958993485310298
78,sample00015,102691,monocyte,20937,20.388349514563107
79,sample00015,102691,nk_cell,15753,15.340195343311487
80,sample00016,95824,b_cell,7433,7.756929370512607
81,sample00016,95824,cd4_t_cell,33881,35.35753047253298
82,sample00016,95824,cd8_t_cell,22881,23.87815161128736
83,sample00016,95824,monocyte,22197,23.164342962097177
84,sample00016,95824,nk_cell,9432,9.843045583569879
85,sample00017,98639,b_cell,3226,3.27051166374355
86,sample00017,98639,cd4_t_cell,36405,36.90730846825292
87,sample00017,98639,cd8_t_cell,20404,20.6855300641734
88,sample00017,98639,monocyte,17865,18.111497480712497
89,sample00017,98639,nk_cell,20739,21.02515232311763
90,sample00018,101123,b_cell,3578,3.5382652808955433
91,sample00018,101123,cd4_t_cell,32675,32.31213472701562
92,sample00018,101123,cd8_t_cell,29520,29.1921719094568
93,sample00018,101123,monocyte,19813,19.592970936384404
94,sample00018,101123,nk_cell,15537,15.36445714624764
95,sample00019,97405,b_cell,8022,8.235716852317642
96,sample00019,97405,cd4_t_cell,30759,31.578461064627074
97,sample00019,97405,cd8_t_cell,27175,27.89897849186387
98,sample00019,97405,monocyte,20466,21.011241722704174
99,sample00019,97405,nk_cell,10983,11.275601868487245
100,sample00020,97228,b_cell,6382,6.563952770806764
101,sample00020,97228,cd4_t_cell,32731,33.664170814991564
102,sample00020,97228,cd8_t_cell,17469,17.96704652980623
103,sample00020,97228,monocyte,22590,23.23404780515901
104,sample00020,97228,nk_cell,18056,18.570782079236434
105,sample00021,100750,b_cell,10337,10.260049627791563
106,sample00021,100750,cd4_t_cell,31535,31.300248138957816
107,sample00021,100750,cd8_t_cell,19144,19.001488833746897
108,sample00021,100750,monocyte,26971,26.770223325062034
109,sample00021,100750,nk_cell,12763,12.667990074441688
110,sample00022,92670,b_cell,9563,10.319412970756447
111,sample00022,92670,cd4_t_cell,32814,35.40951764325024
112,sample00022,92670,cd8_t_cell,22424,24.19769073054926
113,sample00022,92670,monocyte,16304,17.593611740584873
114,sample00022,92670,nk_cell,11565,12.479766914859178
115,sample00023,104960,b_cell,6924,6.596798780487805
116,sample00023,104960,cd4_t_cell,29844,28.433689024390244
117,sample00023,104960,cd8_t_cell,28080,26.753048780487806
118,sample00023,104960,monocyte,24320,23.170731707317074
119,sample00023,104960,nk_cell,15792,15.045731707317072
120,sample00024,99969,b_cell,7552,7.554341845972251
121,sample00024,99969,cd4_t_cell,35270,35.28093709049806
122,sample00024,99969,cd8_t_cell,27821,27.82962718442717
123,sample00024,99969,monocyte,9645,9.647990877171923
124,sample00024,99969,nk_cell,19681,19.6871030019306
125,sample00025,95534,b_cell,11714,12.261603198861138
126,sample00025,95534,cd4_t_cell,30323,31.740532166558502
127,sample00025,95534,cd8_t_cell,21407,22.407729185420898
128,sample00025,95534,monocyte,11789,12.340109280465594
129,sample00025,95534,nk_cell,20301,21.250026168693868
130,sample00026,95777,b_cell,7936,8.285914154755318
131,sample00026,95777,cd4_t_cell,34545,36.0681583261117
132,sample00026,95777,cd8_t_cell,23786,24.834772440147425
133,sample00026,95777,monocyte,15581,16.267997535942868
134,sample00026,95777,nk_cell,13929,14.543157543042692
135,sample00027,93164,b_cell,8850,9.49937744193036
136,sample00027,93164,cd4_t_cell,26079,27.992572238203596
137,sample00027,93164,cd8_t_cell,21268,22.828560388132754
138,sample00027,93164,monocyte,18776,20.153707440642307
139,sample00027,93164,nk_cell,18191,19.52578249109098
140,sample00028,106062,b_cell,11386,10.735230336972714
141,sample00028,106062,cd4_t_cell,28400,26.77679093360487
142,sample00028,106062,cd8_t_cell,28155,26.545793969564972
143,sample00028,106062,monocyte,29251,27.579151816861835
144,sample00028,106062,nk_cell,8870,8.363032942995606
145,sample00029,97156,b_cell,5606,5.7701016921240065
146,sample00029,97156,cd4_t_cell,31305,32.22137593149162
147,sample00029,97156,cd8_t_cell,28476,29.309564000164684
148,sample00029,97156,monocyte,15909,16.374696364609495
149,sample00029,97156,nk_cell,15860,16.324262011610195
150,sample00030,93972,b_cell,6413,6.824373217554165
