,sample,population,percentage
0,sample00000,b_cell,11.702104834037806
1,sample00000,cd4_t_cell,21.98274937241187
2,sample00000,cd8_t_cell,26.21923745360139
3,sample00000,monocyte,25.222606046302058
4,sample00000,nk_cell,14.873302293646876
5,sample00001,b_cell,6.721613901452035
6,sample00001,cd4_t_cell,33.1855510592716
7,sample00001,cd8_t_cell,19.248393239704832
8,sample00001,monocyte,22.822938982781878
9,sample00001,nk_cell,18.021502816789653
10,sample00002,b_cell,10.551377906099846
11,sample00002,cd4_t_cell,26.15112796535304
12,sample00002,cd8_t_cell,24.713968671220186
13,sample00002,monocyte,19.74962832087221
14,sample00002,nk_cell,18.83389713645472
15,sample00006,b_cell,5.910357407741496
16,sample00006,cd4_t_cell,28.38314590975605
17,sample00006,cd8_t_cell,31.366889169523123
18,sample00006,monocyte,21.654940164772384
19,sample00006,nk_cell,12.684667348206947
20,sample00007,b_cell,10.569576526050557
21,sample00007,cd4_t_cell,34.4123384540356
22,sample00007,cd8_t_cell,13.72023083800699
23,sample00007,monocyte,18.319718767780216
24,sample00007,nk_cell,22.978135414126637
25,sample00008,b_cell,9.771673325733511
26,sample00008,cd4_t_cell,23.581950793000786
27,sample00008,cd8_t_cell,29.01397850652441
28,sample00008,monocyte,18.126680907108785
29,sample00008,nk_cell,19.505716467632507
30,sample00009,b_cell,7.9836361549138495
31,sample00009,cd4_t_cell,22.01709437388464
32,sample00009,cd8_t_cell,34.787781384038986
33,sample00009,monocyte,16.359670635873137
34,sample00009,nk_cell,18.851817451289385
35,sample00010,b_cell,12.277634674577122
36,sample00010,cd4_t_cell,25.919450979662813
37,sample00010,cd8_t_cell,19.84340273580256
38,sample00010,monocyte,29.676297460408975
39,sample00010,nk_cell,12.283214149548527
40,sample00011,b_cell,11.825418916662027
41,sample00011,cd4_t_cell,32.72393252797417
42,sample00011,cd8_t_cell,22.029727773757166
43,sample00011,monocyte,18.367755942771254
44,sample00011,nk_cell,15.053164838835384
45,sample00072,b_cell,9.325627850832683
46,sample00072,cd4_t_cell,24.014827000523432
47,sample00072,cd8_t_cell,28.3080341405574
48,sample00072,monocyte,20.617862903656544
49,sample00072,nk_cell,17.73364810442994
50,sample00073,b_cell,9.939179011992602
51,sample00073,cd4_t_cell,25.272169154797993
52,sample00073,cd8_t_cell,27.592518446490878
53,sample00073,monocyte,18.653358500638717
54,sample00073,nk_cell,18.542774886079812
55,sample00074,b_cell,14.274872061757307
56,sample00074,cd4_t_cell,36.53721051262035
57,sample00074,cd8_t_cell,20.175210339144765
58,sample00074,monocyte,12.143290831815422
59,sample00074,nk_cell,16.869416254662156
60,sample00081,b_cell,10.285573397937526
61,sample00081,cd4_t_cell,33.49377184143387
62,sample00081,cd8_t_cell,20.303153742255002
63,sample00081,monocyte,20.286002186823318
64,sample00081,nk_cell,15.631498831550287
65,sample00082,b_cell,5.8690963255278605
66,sample00082,cd4_t_cell,29.54763079244407
67,sample00082,cd8_t_cell,30.167619379237635
68,sample00082,monocyte,17.102399675013782
69,sample00082,nk_cell,17.31325382777665
70,sample00083,b_cell,8.279504091022416
71,sample00083,cd4_t_cell,26.9282201219374
72,sample00083,cd8_t_cell,26.295868180684934
73,sample00083,monocyte,19.863557036331905
74,sample00083,nk_cell,18.632850570023344
75,sample00123,b_cell,8.469093921344326
76,sample00123,cd4_t_cell,29.47516863240109
77,sample00123,cd8_t_cell,26.255374541438208
78,sample00123,monocyte,18.8769673780127
79,sample00123,nk_cell,16.923395526803677
80,sample00124,b_cell,7.930579964850615
81,sample00124,cd4_t_cell,31.120386643233743
82,sample00124,cd8_t_cell,25.93145869947276
83,sample00124,monocyte,21.477372583479788
84,sample00124,nk_cell,13.540202108963094
85,sample00125,b_cell,16.67591103222586
86,sample00125,cd4_t_cell,25.007857710725315
87,sample00125,cd8_t_cell,31.859781463198182
88,sample00125,monocyte,14.101355223990977
89,sample00125,nk_cell,12.35509456985967
90,sample00153,b_cell,12.112016235336514
91,sample00153,cd4_t_cell,28.45830685924001
92,sample00153,cd8_t_cell,26.07516429743288
93,sample00153,monocyte,15.982133543229429
94,sample00153,nk_cell,17.372379064761166
95,sample00154,b_cell,4.937706119457677
96,sample00154,cd4_t_cell,29.520377834778714
97,sample00154,cd8_t_cell,29.919384389886407
98,sample00154,monocyte,15.006514392736452
