,sample,population,percentage
0,sample00024,b_cell,7.554341845972251
1,sample00024,cd4_t_cell,35.28093709049806
2,sample00024,cd8_t_cell,27.82962718442717
3,sample00024,monocyte,9.647990877171923
4,sample00024,nk_cell,19.6871030019306
5,sample00025,b_cell,12.261603198861138
6,sample00025,cd4_t_cell,31.740532166558502
7,sample00025,cd8_t_cell,22.407729185420898
8,sample00025,monocyte,12.340109280465594
9,sample00025,nk_cell,21.250026168693868
10,sample00026,b_cell,8.285914154755318
11,sample00026,cd4_t_cell,36.0681583261117
12,sample00026,cd8_t_cell,24.834772440147425
13,sample00026,monocyte,16.267997535942868
14,sample00026,nk_cell,14.543157543042692
15,sample00060,b_cell,10.658334460177333
16,sample00060,cd4_t_cell,37.49203160314486
17,sample00060,cd8_t_cell,20.67533370680163
18,sample00060,monocyte,17.11225297969749
19,sample00060,nk_cell,14.062047250178685
20,sample00061,b_cell,4.026078413860856
21,sample00061,cd4_t_cell,34.18862195230865
22,sample00061,cd8_t_cell,31.139590961864783
23,sample00061,monocyte,16.34455657765473
24,sample00061,nk_cell,14.301152094310977
25,sample00062,b_cell,10.563986314883614
26,sample00062,cd4_t_cell,22.620321978045045
27,sample00062,cd8_t_cell,21.098587410532502
28,sample00062,monocyte,27.346094914258128
29,sample00062,nk_cell,18.371009382280715
30,sample00066,b_cell,7.505313001006674
31,sample00066,cd4_t_cell,34.81413817531039
32,sample00066,cd8_t_cell,32.92476044890198
33,sample00066,monocyte,11.77435591514112
34,sample00066,nk_cell,12.981432459639834
35,sample00067,b_cell,11.036444246158993
36,sample00067,cd4_t_cell,27.381981429328277
37,sample00067,cd8_t_cell,22.41493089442229
38,sample00067,monocyte,19.27427525118739
39,sample00067,nk_cell,19.892368178903048
40,sample00068,b_cell,9.52514853281328
41,sample00068,cd4_t_cell,32.16290988253436
42,sample00068,cd8_t_cell,30.659893872737992
43,sample00068,monocyte,20.94244636944986
44,sample00068,nk_cell,6.709601342464511
45,sample00075,b_cell,13.82853759394906
46,sample00075,cd4_t_cell,31.65760999321943
47,sample00075,cd8_t_cell,25.26955143203675
48,sample00075,monocyte,14.935393607166391
49,sample00075,nk_cell,14.308907373628367
50,sample00076,b_cell,11.24917118540923
51,sample00076,cd4_t_cell,33.9155471992879
52,sample00076,cd8_t_cell,21.58460266855591
53,sample00076,monocyte,18.989618245728767
54,sample00076,nk_cell,14.261060701018193
55,sample00077,b_cell,9.107291903786328
56,sample00077,cd4_t_cell,40.33689961302071
57,sample00077,cd8_t_cell,17.778283633052585
58,sample00077,monocyte,17.0308824645269
59,sample00077,nk_cell,15.746642385613477
60,sample00141,b_cell,4.721493596667181
61,sample00141,cd4_t_cell,34.390911896312296
62,sample00141,cd8_t_cell,27.621123283443914
63,sample00141,monocyte,20.564920536954173
64,sample00141,nk_cell,12.701550686622435
65,sample00142,b_cell,10.477720196785567
66,sample00142,cd4_t_cell,32.66054489802103
67,sample00142,cd8_t_cell,27.138830802800253
68,sample00142,monocyte,17.475326039740988
69,sample00142,nk_cell,12.24757806265216
70,sample00143,b_cell,8.356446461590183
71,sample00143,cd4_t_cell,26.1314926878467
72,sample00143,cd8_t_cell,34.039334341906205
73,sample00143,monocyte,11.123718271978484
74,sample00143,nk_cell,20.349008236678433
75,sample00165,b_cell,10.587876504673233
76,sample00165,cd4_t_cell,31.500816245986044
77,sample00165,cd8_t_cell,17.262257144394813
78,sample00165,monocyte,19.24546579839621
79,sample00165,nk_cell,21.4035843065497
80,sample00166,b_cell,8.229399660016105
81,sample00166,cd4_t_cell,29.703856133130536
82,sample00166,cd8_t_cell,19.17598640064418
83,sample00166,monocyte,23.425785094390267
84,sample00166,nk_cell,19.464972711818913
85,sample00167,b_cell,8.796864191837676
86,sample00167,cd4_t_cell,24.58658058565829
87,sample00167,cd8_t_cell,37.01544846668204
88,sample00167,monocyte,17.70255937283837
89,sample00167,nk_cell,11.89854738298363
90,sample00168,b_cell,7.993203921415459
91,sample00168,cd4_t_cell,29.654727961567005
92,sample00168,cd8_t_cell,32.17103464437761
93,sample00168,monocyte,11.978088505253291
94,sample00168,nk_cell,18.202944967386635
95,sample00169,b_cell,8.639120101461168
96,sample00169,cd4_t_cell,35.4218844920014
97,sample00169,cd8_t_cell,24.741817561734646
98,sample00169,monocyte,15.549563567766896
99,sample00169,nk_cell,15.647614277035885
100,sample00170,b_cell,8.10912377992423
101,sample00170,cd4_t_cell,27.05648150969459
102,sample00170,cd8_t_cell,25.555318565465125
103,sample00170,monocyte,24.878881135927358
104,sample00170,nk_cell,14.400195008988696
105,sample00261,b_cell,8.597636394824987
106,sample00261,cd4_t_cell,24.668887624928903
107,sample00261,cd8_t_cell,33.465146303368456
108,sample00261,monocyte,20.276626671361374
109,sample00261,nk_cell,12.991703005516282
110,sample00262,b_cell,8.75391384014417
111,sample00262,cd4_t_cell,35.81906228920636
112,sample00262,cd8_t_cell,26.866813655904235
113,sample00262,monocyte,15.127810162392905
114,sample00262,nk_cell,13.432400052352332
115,sample00263,b_cell,10.389517105506188
116,sample00263,cd4_t_cell,32.26342684753833
117,sample00263,cd8_t_cell,25.077472448539822
118,sample00263,monocyte,11.316108112545406
119,sample00263,nk_cell,20.953475485870257
120,sample00324,b_cell,5.4176386939670795
121,sample00324,cd4_t_cell,19.538445809671632
122,sample00324,cd8_t_cell,23.673473181340793
123,sample00324,monocyte,28.03992824812023
124,sample00324,nk_cell,23.330514066900264
